시도별,주요 업종별,시점,사업체수 (개),종사자수 (명),매출액 (백만원),영업비용 (백만원),매출원가 (백만원),인건비 (백만원),임차료 (백만원),기타영업비용 (백만원),연간급여액 (백만원)
부산광역시,의약품 및 의료용품 소매업,2019,205,724,249761,239575,202409,17947,4939,14280,14734
부산광역시,의약품 및 의료용품 소매업,2020,214,730,283097,263405,222222,18597,6560,16026,16199
부산광역시,안경 및 렌즈 소매업,2018,214,674,80157,70577,-,12954,10241,47382,11586
부산광역시,안경 및 렌즈 소매업,2019,208,662,75888,67760,36354,13591,10430,7384,12534
부산광역시,안경 및 렌즈 소매업,2020,223,621,73603,66421,36785,11326,8732,9578,11111
부산광역시,한식 음식점업,2018,1861,8508,553567,501004,-,97020,49524,354460,91638
부산광역시,한식 음식점업,2019,1957,8515,564575,493432,267431,99563,54348,72090,97613
부산광역시,한식 음식점업,2020,2273,7516,535286,515090,272297,91281,51470,100041,87518
부산광역시,외국식 음식점업,2018,557,2997,184698,162998,-,39315,17342,106341,37239
부산광역시,외국식 음식점업,2019,522,2727,190278,170303,87053,43802,18061,21388,42542
부산광역시,외국식 음식점업,2020,549,2475,174498,167803,77375,39238,14845,36345,37127
부산광역시,제과점업,2018,446,2234,170045,159878,-,20895,13425,125558,19383
부산광역시,제과점업,2019,435,2141,152539,135906,87994,20883,14436,12592,20676
부산광역시,제과점업,2020,442,2035,155261,150361,94500,21415,13405,21042,20894
부산광역시,"피자, 햄버거, 샌드위치 및 유사 음식점업",2018,731,3846,210747,191516,-,36926,16019,138571,34519
부산광역시,"피자, 햄버거, 샌드위치 및 유사 음식점업",2019,746,4052,220692,199940,104973,39285,17261,38420,37757
부산광역시,"피자, 햄버거, 샌드위치 및 유사 음식점업",2020,861,3807,250757,234997,125008,39387,15536,55066,37875
부산광역시,치킨전문점,2018,1791,4476,268696,230675,-,19322,16146,195207,18384
부산광역시,치킨전문점,2019,1891,4665,325048,267455,173449,24019,22530,47457,23333
부산광역시,치킨전문점,2020,1963,4378,342564,299337,180111,22345,18242,78638,20170
부산광역시,"김밥, 기타 간이음식점 및 포장 판매점",2018,794,2889,140136,124742,-,21599,13707,89436,20408
